,date,label
203,24/11/2015,0
204,25/11/2015,0
205,26/11/2015,0
206,27/11/2015,0
207,28/11/2015,0
208,29/11/2015,0
209,30/11/2015,0
210,1/12/2015,0
211,2/12/2015,0
212,3/12/2015,0
213,4/12/2015,0
214,5/12/2015,0
215,6/12/2015,0
216,7/12/2015,0
217,8/12/2015,0
218,9/12/2015,0
219,10/12/2015,0
220,11/12/2015,0
221,12/12/2015,0
222,13/12/2015,0
223,14/12/2015,0
224,15/12/2015,0
225,16/12/2015,0
226,17/12/2015,0
227,18/12/2015,0
228,19/12/2015,0
229,20/12/2015,0
230,21/12/2015,1
231,22/12/2015,0
232,23/12/2015,0
233,24/12/2015,0
234,25/12/2015,0
235,26/12/2015,0
236,27/12/2015,0
237,28/12/2015,0
238,29/12/2015,0
239,30/12/2015,0
240,31/12/2015,0
241,1/1/2016,0
242,2/1/2016,0
243,3/1/2016,0
244,4/1/2016,0
245,5/1/2016,1
246,6/1/2016,0
247,7/1/2016,0
248,8/1/2016,0
249,9/1/2016,0
250,10/1/2016,0
251,11/1/2016,0
252,12/1/2016,0
253,13/1/2016,0
254,14/1/2016,0
255,15/1/2016,0
256,16/1/2016,0
257,17/1/2016,0
258,18/1/2016,0
259,19/1/2016,0
260,20/1/2016,0
261,21/1/2016,0
262,22/1/2016,0
263,23/1/2016,0
264,24/1/2016,0
265,25/1/2016,0
266,26/1/2016,1
267,27/1/2016,0
268,28/1/2016,0
269,29/1/2016,0
270,30/1/2016,0
271,31/1/2016,0
272,1/2/2016,0
273,2/2/2016,1
274,3/2/2016,0
275,4/2/2016,1
276,5/2/2016,0
277,6/2/2016,0
278,7/2/2016,0
279,8/2/2016,0
280,9/2/2016,0
281,10/2/2016,0
282,11/2/2016,0
283,12/2/2016,0
284,13/2/2016,0
285,14/2/2016,1
286,15/2/2016,0
287,16/2/2016,0
288,17/2/2016,0
289,18/2/2016,0
290,19/2/2016,0
291,20/2/2016,0
292,21/2/2016,0
293,22/2/2016,0
294,23/2/2016,0
295,24/2/2016,0
296,25/2/2016,0
297,26/2/2016,0
298,27/2/2016,0
299,28/2/2016,0
300,29/2/2016,0
